Paper Link,Authors,Year,Country,Latitude,Longitude,Ecosystem,Type,Annual Mortality Rate (%),Diversity (Shannon Index)
Full article: Can contrast between forest and adjacent open habitat explain the edge effects on plant diversity?,Alignier et al.,2014,France,,,Temperate,Edge,,3.1
Full article: Can contrast between forest and adjacent open habitat explain the edge effects on plant diversity?,Alignier et al.,2014,France,,,Temperate,Interior,,3
Full article: Can contrast between forest and adjacent open habitat explain the edge effects on plant diversity?,Alignier et al.,2014,France,,,Temperate,Edge,,3.1
Full article: Can contrast between forest and adjacent open habitat explain the edge effects on plant diversity?,Alignier et al.,2014,France,,,Temperate,Interior,,3
The influence of natural and anthropogenic landscapes on edge effects - ScienceDirect,Hardt et al.,2013,Brazil,,,Tropical,Edge,,3.4
The influence of natural and anthropogenic landscapes on edge effects - ScienceDirect,Hardt et al.,2013,Brazil,,,Tropical,Interior,,2.95
Fire threatens the diversity and structure of tropical gallery forests - Armenteras - 2021 - Ecosphere - Wiley Online Library,Armenteras et al.,2021,Colombia,6.08333,-67.52500,Tropical,Edge,21.5,1.2
Fire threatens the diversity and structure of tropical gallery forests - Armenteras - 2021 - Ecosphere - Wiley Online Library,Armenteras et al.,2021,Colombia,6.08333,-67.52500,Tropical,Interior,2,2.85
"Edge disturbance shapes liana diversity and abundance but not liana‐tree interaction network patterns in moist semi‐deciduous forests, Ghana - Ofosu‐Bamfo - 2022 - Ecology and Evolution - Wiley Online Library",Ofosu-Bamfo et al.,2022,Ghana,6.28333,-1.83333,Tropical,Edge,,2.94
"Edge disturbance shapes liana diversity and abundance but not liana‐tree interaction network patterns in moist semi‐deciduous forests, Ghana - Ofosu‐Bamfo - 2022 - Ecology and Evolution - Wiley Online Library",Ofosu-Bamfo et al.,2022,Ghana,6.28333,-1.83333,Tropical,Interior,,2.89
Edge effect of low-traffic forest roads on bird communities in secondary production forests in central Europe | Landscape Ecology,Šálek et al.,2010,Czech Republic,49.25000,14.25833,Temperate,Edge,,3.4
Edge effect of low-traffic forest roads on bird communities in secondary production forests in central Europe | Landscape Ecology,Šálek et al.,2010,Czech Republic,49.25000,14.25833,Temperate,Interior,,2.75
Retention forestry amplifies microclimate buffering in boreal forests - ScienceDirect,Zhang et al.,2024,Sweden,,,Boreal,Edge,,0.48
Retention forestry amplifies microclimate buffering in boreal forests - ScienceDirect,Zhang et al.,2024,Sweden,,,Boreal,Interior,,0.44
"The effects of roadside on composition of tree communities in forests of West Guilan Province, Iran",Zamani et al.,2019,Iran,,,Temperate,Edge,,1.46
"The effects of roadside on composition of tree communities in forests of West Guilan Province, Iran",Zamani et al.,2019,Iran,,,Temperate,Interior,,0.44
FIA DataMart ,USFS,2015,US,60.70608,-146.13352,Boreal,Edge,3.765690377,
FIA DataMart ,USFS,2015,US,60.33425,-146.40736,Boreal,Interior,0,
FIA DataMart ,USFS,2015,US,58.18716,-133.64347,Boreal,Edge,8.823529412,
FIA DataMart ,USFS,2015,US,57.14995,-133.07223,Boreal,Interior,2.479338843,
FIA DataMart ,USFS,2015,US,59.23074,-138.44240,Boreal,Edge,47.82608696,
FIA DataMart ,USFS,2015,US,59.75118,-140.22524,Boreal,Interior,0,
FIA DataMart ,USFS,2015,US,55.62992,-132.50907,Boreal,Edge,1.818181818,
FIA DataMart ,USFS,2015,US,56.11967,-132.38054,Boreal,Interior,6.849315068,
FERN Dataset,Harper,1997,Canada,55.1569,-111.75068,Boreal,Edge,,0.60925
FERN Dataset,Harper,1997,Canada,55.1569,-111.75068,Boreal,Interior,,0.380375
FERN Dataset,Harper,2003,Canada,,,Boreal,Edge,,0.150625
FERN Dataset,Harper,2003,Canada,,,Boreal,Interior,,0.2365
FERN Dataset,Harper,1996,Canada,,,Boreal,Edge,,0.2466666667
FERN Dataset,Harper,1996,Canada,,,Boreal,Interior,,0.077
FERN Dataset,Harper,1997,Canada,55.1569,-111.75068,Boreal,Edge,,0.3091111111
FERN Dataset,Harper,1997,Canada,55.1569,-111.75068,Boreal,Interior,,0.09644444444
FERN Dataset,Harper,1997,Canada,55.1569,-111.75068,Boreal,Edge,,0.3028
FERN Dataset,Harper,1997,Canada,55.1569,-111.75068,Boreal,Interior,,0.1677
FERN Dataset,Harper,2003,Canada,,,Boreal,Edge,,0.40625
FERN Dataset,Harper,2003,Canada,,,Boreal,Interior,,0.21975
FERN Dataset,Harper,2003,Canada,48.48239,-79.40892,Boreal,Edge,,0.4494285714
FERN Dataset,Harper,2003,Canada,48.48239,-79.40892,Boreal,Interior,,0.5636666667
FERN Dataset,Harper,2003,Canada,48.48239,-79.40892,Boreal,Edge,,0.624
FERN Dataset,Harper,2003,Canada,48.48239,-79.40892,Boreal,Interior,,0.51125
FERN Dataset,Harper,2017,Canada,45.766,-62.015,Temperate,Edge,19.16666667,
FERN Dataset,Harper,2017,Canada,45.766,-62.015,Temperate,Interior,12.8342246,
Urbanization strengthens the edge effects on species diversity and composition of woody plants in remnant forests - ScienceDirect,Wang & Yang,2022,China,26.54892,161.13667,Subtropical,Edge,,1.8
Urbanization strengthens the edge effects on species diversity and composition of woody plants in remnant forests - ScienceDirect,Wang & Yang,2022,China,26.54892,161.13667,Subtropical,Interior,,2.1
Edge effect on vascular epiphytes in a subtropical Atlantic Forest,Santos Bianchi & de Andrade Kersten,2014,Brazil,-25.65000,-49.26667,Subtropical,Edge,,3.29
Edge effect on vascular epiphytes in a subtropical Atlantic Forest,Santos Bianchi & de Andrade Kersten,2014,Brazil,-25.65000,-49.26667,Subtropical,Interior,,3.7
Species composition and diversity of ground bryophytes across a forest edge-to-interior gradient | Scientific Reports,Jiang et al.,2018,China,22.82500,115.10833,Subtropical,Edge,,1.7
Species composition and diversity of ground bryophytes across a forest edge-to-interior gradient | Scientific Reports,Jiang et al.,2018,China,22.82500,115.10833,Subtropical,Interior,,1.4
The Edge Effect on Plant Diversity and Soil Properties in Abandoned Fields Targeted for Ecological Restoration,Ruwanza,2019,South Africa,,,Subtropical,Edge,,2.25
The Edge Effect on Plant Diversity and Soil Properties in Abandoned Fields Targeted for Ecological Restoration,Ruwanza,2019,South Africa,,,Subtropical,Interior,,2
Bordin et al 2021 - ForestPlots.NET,Bordin et al.,2021,Brazil,-29.60000,-51.00000,Subtropical,Edge,,1.54
Bordin et al 2021 - ForestPlots.NET,Bordin et al.,2021,Brazil,-29.60000,-51.00000,Subtropical,Interior,,1.77
Bordin et al 2021 - ForestPlots.NET,Bordin et al.,2021,Brazil,-29.80000,-50.30000,Subtropical,Edge,,2.99
Bordin et al 2021 - ForestPlots.NET,Bordin et al.,2021,Brazil,-29.80000,-50.30000,Subtropical,Interior,,2.99
Bordin et al 2021 - ForestPlots.NET,Bordin et al.,2021,Brazil,-29.80000,-50.40000,Subtropical,Edge,,1.96
Bordin et al 2021 - ForestPlots.NET,Bordin et al.,2021,Brazil,-29.80000,-50.40000,Subtropical,Interior,,2.81
Bordin et al 2021 - ForestPlots.NET,Bordin et al.,2021,Brazil,-29.80000,-50.30000,Subtropical,Edge,,2.81
Bordin et al 2021 - ForestPlots.NET,Bordin et al.,2021,Brazil,-29.80000,-50.30000,Subtropical,Interior,,2.3
Bordin et al 2021 - ForestPlots.NET,Bordin et al.,2021,Brazil,-29.70000,-50.80000,Subtropical,Edge,,2.53
Bordin et al 2021 - ForestPlots.NET,Bordin et al.,2021,Brazil,-29.70000,-50.80000,Subtropical,Interior,,2.53
FIA DataMart ,USFS,2012,US,34.77103,-83.24191,Subtropical,Edge,23.52941176,
FIA DataMart ,USFS,2012,US,34.98345,-82.82274,Subtropical,Interior,0,
FIA DataMart ,USFS,2012,US,34.69395,-83.25245,Subtropical,Edge,14.65517241,
FIA DataMart ,USFS,2012,US,35.06205,-82.50830,Subtropical,Interior,8.695652174,
FIA DataMart ,USFS,2012,US,34.52011,-83.02018,Subtropical,Edge,0,
FIA DataMart ,USFS,2012,US,34.96657,-82.52613,Subtropical,Interior,0,
FIA DataMart ,USFS,2012,US,34.85640,-83.19451,Subtropical,Edge,4.946996466,
FIA DataMart ,USFS,2012,US,34.84212,-82.55768,Subtropical,Interior,0,
FIA DataMart ,USFS,2012,US,34.75199,-82.59039,Subtropical,Edge,0,
FIA DataMart ,USFS,2012,US,34.44973,-82.60706,Subtropical,Interior,10.14492754,
FIA DataMart ,USFS,2012,US,34.89526,-82.70035,Subtropical,Edge,0,
FIA DataMart ,USFS,2012,US,34.22564,-82.51572,Subtropical,Interior,8.24742268,
FIA DataMart ,USFS,2012,US,34.85047,-82.72295,Subtropical,Edge,0,
FIA DataMart ,USFS,2012,US,34.13071,-82.29681,Subtropical,Interior,7.142857143,
FIA DataMart ,USFS,2008,US,46.258838,-92.774149,Temperate,Edge,8.333333333,
FIA DataMart ,USFS,2008,US,46.49601,-92.84865,Temperate,Interior,3.703703704,
FIA DataMart ,USFS,2008,US,46.38465,-93.06464,Temperate,Edge,11.11111111,
FIA DataMart ,USFS,2008,US,48.38005,-92.53722,Temperate,Interior,0,
FIA DataMart ,USFS,2008,US,47.89274,-92.71073,Temperate,Edge,12.90322581,
FIA DataMart ,USFS,2008,US,48.23934,-92.41908,Temperate,Interior,0,
FIA DataMart ,USFS,2008,US,47.49776,-92.83898,Temperate,Edge,12.5,
FIA DataMart ,USFS,2008,US,47.64792,-92.80295,Temperate,Interior,0,
